Fecha;Unidades;TRM;TRMdesfas
14/12/2012;1861;$ 1.795,05 ;$ 1.797,68 
15/12/2012;515;$ 1.798,37 ;$ 1.797,81 
16/12/2012;0;$ 1.798,37 ;$ 1.798,53 
17/12/2012;1192;$ 1.798,37 ;$ 1.797,66 
18/12/2012;1789;$ 1.796,98 ;$ 1.798,42 
19/12/2012;1961;$ 1.794,14 ;$ 1.798,42 
20/12/2012;2101;$ 1.790,46 ;$ 1.798,42 
21/12/2012;2124;$ 1.788,87 ;$ 1.802,91 
22/12/2012;904;$ 1.779,79 ;$ 1.816,60 
23/12/2012;0;$ 1.779,79 ;$ 1.817,25 
24/12/2012;535;$ 1.779,79 ;$ 1.816,97 
25/12/2012;0;$ 1.773,44 ;$ 1.823,18 
26/12/2012;1206;$ 1.773,44 ;$ 1.823,18 
27/12/2012;1921;$ 1.771,49 ;$ 1.823,18 
28/12/2012;2418;$ 1.771,54 ;$ 1.830,45 
29/12/2012;1087;$ 1.768,23 ;$ 1.829,89 
30/12/2012;0;$ 1.768,23 ;$ 1.831,25 
31/12/2012;68;$ 1.768,23 ;$ 1.825,50 
01/01/2013;0;$ 1.768,23 ;$ 1.828,80 
02/01/2013;223;$ 1.768,23 ;$ 1.828,80 
03/01/2013;402;$ 1.759,97 ;$ 1.828,80 
04/01/2013;884;$ 1.760,83 ;$ 1.828,80 
05/01/2013;215;$ 1.767,54 ;$ 1.814,99 
06/01/2013;0;$ 1.767,54 ;$ 1.814,83 
07/01/2013;0;$ 1.767,54 ;$ 1.814,21 
08/01/2013;623;$ 1.767,54 ;$ 1.816,99 
09/01/2013;1005;$ 1.771,31 ;$ 1.816,99 
10/01/2013;957;$ 1.767,96 ;$ 1.816,99 
11/01/2013;1069;$ 1.761,50 ;$ 1.816,99 
12/01/2013;311;$ 1.762,38 ;$ 1.819,30 
13/01/2013;1;$ 1.762,38 ;$ 1.818,20 
14/01/2013;766;$ 1.762,38 ;$ 1.822,61 
15/01/2013;1063;$ 1.758,45 ;$ 1.823,46 
16/01/2013;1007;$ 1.769,88 ;$ 1.823,46 
17/01/2013;1083;$ 1.775,15 ;$ 1.823,46 
18/01/2013;951;$ 1.767,78 ;$ 1.817,67 
19/01/2013;248;$ 1.767,74 ;$ 1.815,58 
20/01/2013;0;$ 1.767,74 ;$ 1.815,76 
21/01/2013;756;$ 1.767,74 ;$ 1.815,76 
22/01/2013;816;$ 1.767,74 ;$ 1.820,18 
23/01/2013;998;$ 1.776,96 ;$ 1.820,18 
24/01/2013;852;$ 1.778,69 ;$ 1.820,18 
25/01/2013;952;$ 1.779,73 ;$ 1.824,12 
26/01/2013;285;$ 1.779,25 ;$ 1.823,54 
27/01/2013;0;$ 1.779,25 ;$ 1.825,08 
28/01/2013;809;$ 1.779,25 ;$ 1.817,93 
29/01/2013;983;$ 1.779,84 ;$ 1.813,72 
30/01/2013;1178;$ 1.776,09 ;$ 1.813,72 
31/01/2013;1104;$ 1.773,24 ;$ 1.813,72 
01/02/2013;1064;$ 1.775,65 ;$ 1.813,73 
02/02/2013;224;$ 1.776,20 ;$ 1.813,57 
03/02/2013;0;$ 1.776,20 ;$ 1.811,05 
04/02/2013;740;$ 1.776,20 ;$ 1.803,69 
05/02/2013;885;$ 1.785,92 ;$ 1.797,45 
06/02/2013;1218;$ 1.789,09 ;$ 1.797,45 
07/02/2013;1150;$ 1.791,24 ;$ 1.797,45 
08/02/2013;1181;$ 1.795,21 ;$ 1.799,40 
09/02/2013;291;$ 1.790,61 ;$ 1.801,50 
10/02/2013;1;$ 1.790,61 ;$ 1.796,31 
11/02/2013;830;$ 1.790,61 ;$ 1.795,05 
12/02/2013;916;$ 1.784,71 ;$ 1.798,37 
13/02/2013;1076;$ 1.783,20 ;$ 1.798,37 
14/02/2013;1110;$ 1.777,72 ;$ 1.798,37 
15/02/2013;1265;$ 1.783,19 ;$ 1.796,98 
16/02/2013;263;$ 1.785,41 ;$ 1.794,14 
17/02/2013;0;$ 1.785,41 ;$ 1.790,46 
18/02/2013;719;$ 1.785,41 ;$ 1.788,87 
19/02/2013;1036;$ 1.785,41 ;$ 1.779,79 
20/02/2013;1096;$ 1.794,63 ;$ 1.779,79 
21/02/2013;1064;$ 1.791,33 ;$ 1.779,79 
22/02/2013;1094;$ 1.798,21 ;$ 1.773,44 
23/02/2013;324;$ 1.800,70 ;$ 1.773,44 
24/02/2013;0;$ 1.800,70 ;$ 1.771,49 
25/02/2013;755;$ 1.800,70 ;$ 1.771,54 
26/02/2013;1119;$ 1.806,11 ;$ 1.768,23 
27/02/2013;1133;$ 1.818,54 ;$ 1.768,23 
28/02/2013;1311;$ 1.816,42 ;$ 1.768,23 
01/03/2013;963;$ 1.814,28 ;$ 1.768,23 
02/03/2013;264;$ 1.816,48 ;$ 1.768,23 
03/03/2013;0;$ 1.816,48 ;$ 1.759,97 
04/03/2013;677;$ 1.816,48 ;$ 1.760,83 
05/03/2013;930;$ 1.813,53 ;$ 1.767,54 
